,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1,1,1180,Research & Development,29,2,70,3,2,Healthcare Representative,1,Yes,19,1,0,17,2,1,1,0,0,0
1,0,3,279,Research & Development,8,3,61,2,2,Research Scientist,2,No,23,4,1,10,3,3,10,7,1,7
2,1,0,1366,Research & Development,24,2,72,2,3,Healthcare Representative,1,No,12,1,0,10,2,1,10,7,1,0
3,0,3,1392,Research & Development,3,4,56,3,1,Research Scientist,3,Yes,11,3,0,8,3,3,8,7,3,0
4,0,1,591,Research & Development,2,1,40,3,1,Laboratory Technician,2,No,12,3,1,6,3,3,2,2,2,2
5,0,3,1005,Research & Development,2,4,79,3,1,Laboratory Technician,4,No,13,3,0,8,2,2,7,7,3,6
6,0,1,1324,Research & Development,3,3,81,4,1,Laboratory Technician,1,Yes,20,4,3,12,3,2,1,0,0,0
7,0,1,1358,Research & Development,24,4,67,3,1,Laboratory Technician,3,No,22,4,1,1,2,3,1,0,0,0
8,0,3,216,Research & Development,23,4,44,2,3,Manufacturing Director,3,No,21,4,0,10,2,3,9,7,1,8
9,0,1,1299,Research & Development,27,3,94,3,2,Healthcare Representative,3,No,13,3,2,17,3,2,7,7,7,7
10,0,1,809,Research & Development,16,1,84,4,1,Laboratory Technician,2,No,13,3,1,6,5,3,5,4,0,3
11,0,1,153,Research & Development,15,4,49,2,2,Laboratory Technician,3,Yes,12,3,0,10,3,3,9,5,0,8
12,0,1,670,Research & Development,26,1,31,3,1,Research Scientist,3,No,17,3,1,5,1,2,5,2,4,3
13,0,1,1346,Research & Development,19,2,93,3,1,Laboratory Technician,4,No,11,3,1,3,2,3,2,2,1,2
14,1,1,1141,Research & Development,11,1,61,1,2,Healthcare Representative,2,No,15,1,0,15,2,1,1,0,0,0
15,0,1,1389,Research & Development,21,2,51,4,3,Manufacturing Director,1,No,11,3,1,10,1,3,10,9,8,8
16,0,1,334,Research & Development,5,1,80,4,1,Research Scientist,2,Yes,12,3,2,7,5,2,6,2,0,5
17,0,0,1123,Research & Development,16,4,96,4,1,Laboratory Technician,4,Yes,13,3,2,1,2,2,1,0,0,0
18,0,1,1219,Sales,2,1,78,2,4,Manager,4,No,16,3,0,31,3,3,25,8,3,7
19,0,1,371,Research & Development,2,4,45,3,1,Research Scientist,4,Yes,11,3,0,6,3,3,3,2,1,2
20,0,0,673,Research & Development,11,1,96,4,2,Manufacturing Director,3,No,18,3,1,5,5,2,4,2,1,3
21,1,1,261,Research & Development,21,4,66,3,2,Healthcare Representative,2,No,22,1,1,13,2,1,9,7,3,0
22,0,1,419,Research & Development,7,1,53,3,3,Research Director,2,No,11,3,0,13,4,3,12,6,2,11
23,0,1,391,Research & Development,15,3,96,3,1,Research Scientist,4,No,14,3,0,0,6,3,0,0,0,0
24,1,3,534,Research & Development,20,1,66,3,3,Healthcare Representative,1,No,12,1,0,12,2,1,1,0,0,0
25,0,1,1282,Research & Development,5,3,58,3,5,Manager,3,No,11,3,1,26,3,2,14,13,4,8
26,1,1,147,Research & Development,23,4,94,3,3,Healthcare Representative,1,No,12,1,1,40,3,2,40,10,15,0
